PLATFORM,NAME,PRICE,ALT,URL
sets_lego,LEGO | Icons | Le jardin paisible | 10315,104.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/bltc1a3afc5b5af3287/10315.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Architecture | Le Taj Mahal | 21056,119.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt10cbc9ffc0459599/21056.jpg?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Super Mario™ | Super Mario World™ Mario et Yoshi | 71438,129.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt3c5134be133cf18b/71438_Prod.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Architecture | La grande pyramide de Gizeh | 21058,139.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt29a9be6d41806916/21058.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Super Mario™ | Bloc point d'interrogation Super Mario 64™ | 71395,199.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt96c0b3b47b1efa58/71395.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Architecture | Notre-Dame de Paris | 21061,229.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blte79009bca2be0858/21061.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Icons | Atari® 2600 | 10306,239.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt10c72e2ab2785ea4/10306.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Super Mario™ | Nintendo Entertainment System™ | 71374,269.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt92f7face5cfdb894/71374.jpg?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Icons | Jeu d’arcade PAC-MAN | 10323,269.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt74da473b5ba874fe/10323.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | The Legend of Zelda™ | Vénérable Arbre Mojo 2-en-1 | 77092,299.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt6a8cb14aa4efef08/77092.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
sets_lego,LEGO | Ideas | Le jardin botanique | 21353,329.99€,Photo du set,https://www.lego.com/cdn/cs/set/assets/blt70b1f6881b0e0791/21353_Prod.png?format=webply&fit=bounds&quality=75&width=1200&height=1200&dpr=1
jeux_ds,Wario Ware Touched,14-17€,Jaquette Wario Ware Touched,https://cdn.mobygames.com/covers/4812207-warioware-touched-nintendo-ds-front-cover.jpg
jeux_ds,Sonic Rush,10-12€,Jaquette Sonic Rush,https://cdn.mobygames.com/covers/4431573-sonic-rush-nintendo-ds-front-cover.jpg
jeux_ds,Mario Slam Basketball,11-14€,Jaquette Mario Slam Basketball,https://cdn.mobygames.com/covers/4628036-mario-hoops-3-on-3-nintendo-ds-front-cover.jpg
jeux_ds,Super Mario 64 DS,15€,Jaquette Super Mario 64 DS,https://cdn.mobygames.com/covers/5883486-super-mario-64-ds-nintendo-ds-front-cover.jpg
jeux_ds,Mario VS. Donkey Kong : Pagaille a Mini-Land !,15-16€,Jaquette Mario VS. Donkey Kong : Pagaille a Mini-Land !,https://cdn.mobygames.com/covers/1841593-mario-vs-donkey-kong-mini-land-mayhem-nintendo-ds-front-cover.jpg
jeux_ds,Mario VS. Donkey Kong 2 : La marche des Mini,20-25€,Jaquette Mario VS. Donkey Kong 2 : La marche des Mini,https://cdn.mobygames.com/covers/4866649-mario-vs-donkey-kong-2-march-of-the-minis-nintendo-ds-front-cove.jpg
jeux_ds,The Legend of Zelda : Spirit Tracks,40€,Jaquette The Legend of Zelda : Spirit Tracks,https://cdn.mobygames.com/covers/847425-the-legend-of-zelda-spirit-tracks-wii-u-front-cover.png
jeux_ds,The Legend of Zelda : Phantom Hourglass,30-40€,Jaquette The Legend of Zelda : Phantom Hourglass,https://cdn.mobygames.com/covers/5074772-the-legend-of-zelda-phantom-hourglass-nintendo-ds-front-cover.jpg
jeux_ds,Kirby Mass Attack,30€,Jaquette Kirby Mass Attack,https://cdn.mobygames.com/covers/924861-kirby-mass-attack-wii-u-front-cover.jpg
jeux_ds,Dragon Quest Monster Joker 2,30€,Jaquette Dragon Quest Monster Joker 2,https://cdn.mobygames.com/covers/6428005-dragon-quest-monsters-joker-2-nintendo-ds-front-cover.jpg
jeux_ds,Mario & Luigi Partners in time,40-50€,Jaquette Mario & Luigi Partners in time,https://cdn.mobygames.com/covers/6046791-mario-luigi-partners-in-time-nintendo-ds-front-cover.jpg
jeux_ds,Kirby Mouse Attack,68-80€,Jaquette Kirby Mouse Attack,https://cdn.mobygames.com/covers/4912306-kirby-squeak-squad-nintendo-ds-front-cover.jpg
jeux_ds,Kirby Super Star Ultra,100€,Jaquette Kirby Super Star Ultra,https://cdn.mobygames.com/covers/2142153-kirby-super-star-ultra-nintendo-ds-front-cover.jpg
jeux_ds,Donkey Kong Jungle Climber,40€,Jaquette Donkey Kong Jungle Climber,https://cdn.mobygames.com/covers/9230219-dk-jungle-climber-wii-u-front-cover.jpg
jeux_3ds,Professeurs Layton et le masque des miracles,15-17€,Jaquette Professeurs Layton et le masque des miracles,https://cdn.mobygames.com/covers/9056128-professor-layton-and-the-miracle-mask-nintendo-3ds-front-cover.jpg
jeux_3ds,Professeurs Layton et l'héritage des Aslantes,15-20€,Jaquette Professeurs Layton et l'héritage des Aslantes,https://cdn.mobygames.com/covers/8957955-professor-layton-and-the-azran-legacy-nintendo-3ds-front-cover.png
jeux_3ds,Mario & Luigi Superstar Saga + Les sbires de Bowser,25-30€,Jaquette Mario & Luigi Superstar Saga + Les sbires de Bowser,https://cdn.mobygames.com/covers/1866939-mario-luigi-superstar-saga-bowsers-minions-nintendo-3ds-front-co.png
jeux_3ds,Inazuma Eleven Go Galaxy Supernova (Import Japon),50-55€,Jaquette Inazuma Eleven Go Galaxy Supernova,https://m.media-amazon.com/images/I/61DSoYJjivL._AC_.jpg
jeux_3ds,Minecraft New Nintendo 3DS Edition (Import USA),35€,Jaquette Minecraft New Nintendo 3DS Edition,https://cdn.mobygames.com/covers/2943709-minecraft-new-nintendo-3ds-edition-new-nintendo-3ds-front-cover.png
